DOMAIN,AMOUNT,IDCURRENCY,PLAYER_ID,TIMESTAMP,TIMESTAMP_IU,WEB_MOBILE_CHANNEL
BETBOO_TR,750,TRY      ,14402864,01/01/22 19:53,01/01/22,MOB
BETBOO_TR,120,TRY      ,8352108,01/01/22 19:50,01/01/22,MOB
BETBOO_TR,900,TRY      ,8318754,01/01/22 19:34,01/01/22,MOB
BETBOO_TR,950,TRY      ,9516244,01/01/22 19:55,01/01/22,MOB
BETBOO_TR,100,TRY      ,14469090,01/01/22 19:39,01/01/22,WEB
BETBOO_TR,100,TRY      ,9836912,01/01/22 19:38,01/01/22,WEB
BETBOO_TR,100,TRY      ,147730171,01/01/22 11:59,01/01/22,MOB
BETBOO_TR,150,TRY      ,14118791,01/01/22 11:35,01/01/22,MOB
BETBOO_TR,50,TRY      ,14423695,01/01/22 11:43,01/01/22,MOB
BETBOO_TR,100,TRY      ,8323231,01/01/22 11:56,01/01/22,MOB
BETBOO_TR,200,TRY      ,147267901,01/01/22 11:28,01/01/22,MOB
BETBOO_TR,1000,TRY      ,10230282,01/01/22 11:49,01/01/22,MOB
BETBOO_TR,100,TRY      ,14395527,01/01/22 11:46,01/01/22,MOB
BETBOO_TR,50,TRY      ,14288791,01/01/22 11:19,01/01/22,MOB
BETBOO_TR,200,TRY      ,9061303,01/01/22 11:06,01/01/22,WEB
BETBOO_TR,200,TRY      ,147601741,01/01/22 11:06,01/01/22,MOB
BETBOO_TR,300,TRY      ,147071371,01/01/22 11:10,01/01/22,MOB
BETBOO_TR,199,TRY      ,147406371,01/01/22 11:23,01/01/22,MOB
BETBOO_TR,100,TRY      ,14336768,01/01/22 11:19,01/01/22,MOB
BETBOO_TR,4500,TRY      ,12719290,01/01/22 11:26,01/01/22,MOB
BETBOO_TR,200,TRY      ,14095667,01/01/22 11:30,01/01/22,MOB
BETBOO_TR,68,TRY      ,14386490,01/01/22 11:42,01/01/22,MOB
BETBOO_TR,200,TRY      ,144989441,01/01/22 11:06,01/01/22,MOB
BETBOO_TR,250,TRY      ,14282469,01/01/22 11:55,01/01/22,MOB
BETBOO_TR,100,TRY      ,144988631,01/01/22 11:23,01/01/22,WEB
BETBOO_TR,1000,TRY      ,14452642,01/01/22 11:40,01/01/22,MOB
BETBOO_TR,750,TRY      ,8373387,01/01/22 11:58,01/01/22,MOB
BETBOO_TR,750,TRY      ,13965491,01/01/22 11:28,01/01/22,MOB
BETBOO_TR,200,TRY      ,145143671,01/01/22 11:05,01/01/22,MOB
BETBOO_TR,200,TRY      ,8272892,01/01/22 11:12,01/01/22,MOB
BETBOO_TR,100,TRY      ,12455246,01/01/22 11:48,01/01/22,MOB
BETBOO_TR,400,TRY      ,12968217,01/01/22 11:21,01/01/22,MOB
BETBOO_TR,300,TRY      ,14209305,01/01/22 11:31,01/01/22,WEB
BETBOO_TR,200,TRY      ,146747241,01/01/22 11:24,01/01/22,MOB
BETBOO_TR,100,TRY      ,11654335,01/01/22 11:09,01/01/22,MOB
BETBOO_TR,200,TRY      ,9459259,01/01/22 11:04,01/01/22,MOB
BETBOO_TR,200,TRY      ,12662074,01/01/22 11:38,01/01/22,MOB
BETBOO_TR,50,TRY      ,147088811,01/01/22 11:52,01/01/22,MOB
BETBOO_TR,200,TRY      ,11595960,01/01/22 11:00,01/01/22,MOB
BETBOO_TR,100,TRY      ,14134026,01/01/22 11:09,01/01/22,MOB
BETBOO_TR,100,TRY      ,12532604,01/01/22 11:22,01/01/22,MOB
BETBOO_TR,100,TRY      ,14194337,01/01/22 11:38,01/01/22,MOB
BETBOO_TR,25,TRY      ,14055596,01/01/22 11:11,01/01/22,MOB
BETBOO_TR,100,TRY      ,9949313,01/01/22 11:32,01/01/22,MOB
BETBOO_TR,150,TRY      ,11297485,01/01/22 11:04,01/01/22,MOB
BETBOO_TR,1000,TRY      ,11058898,01/01/22 11:38,01/01/22,MOB
BETBOO_TR,100,TRY      ,147770271,01/01/22 23:09,01/01/22,MOB
BETBOO_TR,100,TRY      ,14211757,01/01/22 23:49,01/01/22,MOB
BETBOO_TR,100,TRY      ,14211757,01/01/22 23:38,01/01/22,MOB
BETBOO_TR,500,TRY      ,14242317,01/01/22 23:34,01/01/22,MOB
BETBOO_TR,55,TRY      ,14444542,01/01/22 23:54,01/01/22,MOB
BETBOO_TR,50,TRY      ,14139699,01/01/22 23:33,01/01/22,MOB
BETBOO_TR,1000,TRY      ,11642323,01/01/22 23:09,01/01/22,MOB
BETBOO_TR,75,TRY      ,145140681,01/01/22 23:29,01/01/22,MOB
BETBOO_TR,200,TRY      ,12373284,01/01/22 23:10,01/01/22,MOB
BETBOO_TR,500,TRY      ,147467811,01/01/22 23:37,01/01/22,MOB
BETBOO_TR,750,TRY      ,14249593,01/01/22 23:30,01/01/22,MOB
BETBOO_TR,50,TRY      ,14456549,01/01/22 23:32,01/01/22,MOB
BETBOO_TR,1000,TRY      ,14030269,01/01/22 23:24,01/01/22,MOB
BETBOO_TR,300,TRY      ,12355154,01/01/22 23:24,01/01/22,MOB
BETBOO_TR,2000,TRY      ,12371938,01/01/22 23:49,01/01/22,WEB
BETBOO_TR,100,TRY      ,14211757,01/01/22 23:26,01/01/22,MOB
BETBOO_TR,1000,TRY      ,12371938,01/01/22 23:09,01/01/22,WEB
BETBOO_TR,25,TRY      ,9936805,01/01/22 23:15,01/01/22,MOB
BETBOO_TR,188,TRY      ,8457402,01/01/22 23:53,01/01/22,MOB
BETBOO_TR,558,TRY      ,10841466,01/01/22 23:48,01/01/22,MOB
BETBOO_TR,250,TRY      ,10831952,01/01/22 23:53,01/01/22,MOB
BETBOO_TR,500,TRY      ,14068918,01/01/22 23:03,01/01/22,MOB
BETBOO_TR,50,TRY      ,14234799,01/01/22 23:32,01/01/22,MOB
BETBOO_TR,450,TRY      ,14221960,01/01/22 23:05,01/01/22,WEB
BETBOO_TR,100,TRY      ,14312505,01/01/22 23:07,01/01/22,MOB
BETBOO_TR,900,TRY      ,13712463,01/01/22 23:47,01/01/22,MOB
BETBOO_TR,100,TRY      ,12872027,01/01/22 23:12,01/01/22,MOB
BETBOO_TR,300,TRY      ,147715441,01/01/22 23:38,01/01/22,MOB
BETBOO_TR,196,TRY      ,14110308,01/01/22 23:42,01/01/22,MOB
BETBOO_TR,150,TRY      ,8320024,01/01/22 23:50,01/01/22,MOB
BETBOO_TR,200,TRY      ,147804691,01/01/22 23:06,01/01/22,MOB
BETBOO_TR,100,TRY      ,14262597,01/01/22 23:09,01/01/22,MOB
BETBOO_TR,104,TRY      ,14104787,01/01/22 23:27,01/01/22,MOB
BETBOO_TR,200,TRY      ,12672632,01/01/22 23:43,01/01/22,MOB
BETBOO_TR,1000,TRY      ,11642323,01/01/22 23:38,01/01/22,MOB
BETBOO_TR,394,TRY      ,147071371,01/01/22 23:04,01/01/22,MOB
BETBOO_TR,100,TRY      ,13114629,01/01/22 23:47,01/01/22,MOB
BETBOO_TR,960,TRY      ,146945941,01/01/22 23:37,01/01/22,MOB
BETBOO_TR,1000,TRY      ,12371938,01/01/22 23:14,01/01/22,WEB
BETBOO_TR,5000,TRY      ,14156762,01/01/22 23:59,01/01/22,MOB
BETBOO_TR,250,TRY      ,14153122,01/01/22 23:32,01/01/22,MOB
BETBOO_TR,59,TRY      ,12290688,01/01/22 23:26,01/01/22,MOB
BETBOO_TR,160,TRY      ,12865929,01/01/22 20:24,01/01/22,MOB
BETBOO_TR,1500,TRY      ,146099601,01/01/22 20:28,01/01/22,MOB
BETBOO_TR,300,TRY      ,14224200,01/01/22 20:26,01/01/22,MOB
BETBOO_TR,200,TRY      ,14256471,01/01/22 20:02,01/01/22,MOB
BETBOO_TR,100,TRY      ,147363961,01/01/22 20:20,01/01/22,MOB
BETBOO_TR,25,TRY      ,147730441,01/01/22 20:45,01/01/22,WEB
BETBOO_TR,50,TRY      ,147802271,01/01/22 20:41,01/01/22,WEB
BETBOO_TR,40,TRY      ,145699561,01/01/22 20:28,01/01/22,MOB
BETBOO_TR,100,TRY      ,13811306,01/01/22 20:49,01/01/22,MOB
BETBOO_TR,250,TRY      ,14383017,01/01/22 20:47,01/01/22,MOB
BETBOO_TR,20,TRY      ,11019916,01/01/22 20:07,01/01/22,MOB
BETBOO_TR,100,TRY      ,145143671,01/01/22 20:51,01/01/22,MOB
BETBOO_TR,300,TRY      ,147519981,01/01/22 20:28,01/01/22,MOB
BETBOO_TR,150,TRY      ,11330585,01/01/22 20:32,01/01/22,MOB
BETBOO_TR,50,TRY      ,14410247,01/01/22 20:10,01/01/22,WEB
BETBOO_TR,100,TRY      ,11222063,01/01/22 20:54,01/01/22,MOB
BETBOO_TR,84,TRY      ,14413928,01/01/22 20:25,01/01/22,MOB
BETBOO_TR,1000,TRY      ,146721711,01/01/22 20:00,01/01/22,MOB
BETBOO_TR,100,TRY      ,14230233,01/01/22 20:03,01/01/22,WEB
BETBOO_TR,150,TRY      ,13937477,01/01/22 20:10,01/01/22,MOB
BETBOO_TR,64,TRY      ,145097781,01/01/22 20:55,01/01/22,MOB
BETBOO_TR,100,TRY      ,14230233,01/01/22 20:14,01/01/22,WEB
BETBOO_TR,250,TRY      ,14358252,01/01/22 20:49,01/01/22,MOB
BETBOO_TR,240,TRY      ,14012928,01/01/22 20:55,01/01/22,MOB
BETBOO_TR,150,TRY      ,13937477,01/01/22 20:02,01/01/22,MOB
BETBOO_TR,750,TRY      ,12661509,01/01/22 20:37,01/01/22,MOB
BETBOO_TR,100,TRY      ,11217243,01/01/22 20:50,01/01/22,MOB
BETBOO_TR,100,TRY      ,14134026,01/01/22 20:56,01/01/22,MOB
BETBOO_TR,200,TRY      ,145143671,01/01/22 20:21,01/01/22,MOB
BETBOO_TR,40,TRY      ,146810861,01/01/22 20:34,01/01/22,MOB
BETBOO_TR,120,TRY      ,8352108,01/01/22 20:40,01/01/22,MOB
BETBOO_TR,60,TRY      ,14066945,01/01/22 20:25,01/01/22,WEB
BETBOO_TR,500,TRY      ,14297111,01/01/22 20:31,01/01/22,MOB
BETBOO_TR,70,TRY      ,9764944,01/01/22 20:24,01/01/22,MOB
BETBOO_TR,200,TRY      ,145143671,01/01/22 20:00,01/01/22,MOB
BETBOO_TR,200,TRY      ,145143671,01/01/22 20:39,01/01/22,MOB
BETBOO_TR,100,TRY      ,11443966,01/01/22 20:18,01/01/22,MOB
BETBOO_TR,400,TRY      ,8387290,01/01/22 20:54,01/01/22,MOB
BETBOO_TR,100,TRY      ,14396942,01/01/22 20:49,01/01/22,MOB
BETBOO_TR,300,TRY      ,14474750,01/01/22 20:41,01/01/22,MOB
BETBOO_TR,1000,TRY      ,147791641,01/01/22 20:08,01/01/22,MOB
BETBOO_TR,900,TRY      ,11454661,01/01/22 20:09,01/01/22,MOB
BETBOO_TR,249,TRY      ,14223811,01/01/22 20:10,01/01/22,WEB
BETBOO_TR,100,TRY      ,11185179,01/01/22 20:41,01/01/22,MOB
BETBOO_TR,110,TRY      ,13717203,01/01/22 20:13,01/01/22,MOB
BETBOO_TR,400,TRY      ,14474750,01/01/22 20:36,01/01/22,MOB
BETBOO_TR,140,TRY      ,12746386,01/01/22 20:23,01/01/22,MOB
BETBOO_TR,1000,TRY      ,14318489,01/01/22 22:33,01/01/22,MOB
BETBOO_TR,600,TRY      ,146072171,01/01/22 22:25,01/01/22,MOB
BETBOO_TR,400,TRY      ,146072171,01/01/22 22:14,01/01/22,MOB
BETBOO_TR,1000,TRY      ,145341801,01/01/22 22:13,01/01/22,MOB
BETBOO_TR,227.02,TRY      ,12904812,01/01/22 22:29,01/01/22,MOB
BETBOO_TR,100,TRY      ,10820313,01/01/22 22:44,01/01/22,MOB
BETBOO_TR,1000,TRY      ,14195107,01/01/22 22:13,01/01/22,MOB
BETBOO_TR,500,TRY      ,14382508,01/01/22 22:47,01/01/22,MOB
BETBOO_TR,350,TRY      ,13079975,01/01/22 22:32,01/01/22,MOB
BETBOO_TR,100,TRY      ,14282980,01/01/22 22:11,01/01/22,MOB
BETBOO_TR,1000,TRY      ,14233692,01/01/22 22:12,01/01/22,MOB
BETBOO_TR,2000,TRY      ,145580801,01/01/22 22:22,01/01/22,MOB
BETBOO_TR,300,TRY      ,12680293,01/01/22 22:41,01/01/22,MOB
BETBOO_TR,100,TRY      ,13115793,01/01/22 22:30,01/01/22,MOB
BETBOO_TR,400,TRY      ,8387290,01/01/22 22:03,01/01/22,MOB
BETBOO_TR,400,TRY      ,145219201,01/01/22 22:19,01/01/22,MOB
BETBOO_TR,50,TRY      ,10038196,01/01/22 22:49,01/01/22,MOB
BETBOO_TR,100,TRY      ,147770271,01/01/22 22:58,01/01/22,MOB
BETBOO_TR,1000,TRY      ,147804671,01/01/22 22:40,01/01/22,MOB
BETBOO_TR,250,TRY      ,147514951,01/01/22 22:02,01/01/22,MOB
BETBOO_TR,250,TRY      ,10831952,01/01/22 22:23,01/01/22,MOB
BETBOO_TR,1000,TRY      ,14233692,01/01/22 22:21,01/01/22,MOB
BETBOO_TR,300,TRY      ,13507110,01/01/22 22:45,01/01/22,MOB
BETBOO_TR,100,TRY      ,14262597,01/01/22 22:50,01/01/22,MOB
BETBOO_TR,25,TRY      ,9936805,01/01/22 22:51,01/01/22,MOB
BETBOO_TR,50,TRY      ,14304892,01/01/22 22:16,01/01/22,MOB
BETBOO_TR,300,TRY      ,147715441,01/01/22 22:44,01/01/22,MOB
BETBOO_TR,250,TRY      ,147804451,01/01/22 22:09,01/01/22,MOB
BETBOO_TR,400,TRY      ,14304000,01/01/22 22:58,01/01/22,MOB
BETBOO_TR,800,TRY      ,147467811,01/01/22 22:15,01/01/22,MOB
BETBOO_TR,50,TRY      ,147437981,01/01/22 22:19,01/01/22,MOB
BETBOO_TR,50,TRY      ,147437981,01/01/22 22:19,01/01/22,MOB
BETBOO_TR,450,TRY      ,9652172,01/01/22 22:47,01/01/22,MOB
BETBOO_TR,250,TRY      ,12485096,01/01/22 22:58,01/01/22,MOB
BETBOO_TR,500,TRY      ,9999634,01/01/22 22:32,01/01/22,MOB
BETBOO_TR,320,TRY      ,14464630,01/01/22 22:34,01/01/22,MOB
BETBOO_TR,250,TRY      ,14153122,01/01/22 22:56,01/01/22,MOB
BETBOO_TR,150,TRY      ,8352108,01/01/22 22:49,01/01/22,MOB
BETBOO_TR,250,TRY      ,13937477,01/01/22 22:29,01/01/22,MOB
BETBOO_TR,70,TRY      ,14304892,01/01/22 22:15,01/01/22,MOB
BETBOO_TR,100,TRY      ,14381005,01/01/22 22:19,01/01/22,MOB
BETBOO_TR,500,TRY      ,146072171,01/01/22 22:19,01/01/22,MOB
BETBOO_TR,250,TRY      ,11460225,01/01/22 22:59,01/01/22,MOB
BETBOO_TR,2000,TRY      ,11903315,01/01/22 22:21,01/01/22,MOB
BETBOO_TR,2000,TRY      ,11903315,01/01/22 22:53,01/01/22,MOB
BETBOO_TR,600,TRY      ,14422681,01/01/22 22:22,01/01/22,MOB
BETBOO_TR,500,TRY      ,147804461,01/01/22 22:06,01/01/22,WEB
BETBOO_TR,120,TRY      ,14264505,01/01/22 22:05,01/01/22,MOB
BETBOO_TR,100,TRY      ,147804311,01/01/22 22:04,01/01/22,MOB
BETBOO_TR,4575,TRY      ,11728016,01/01/22 22:43,01/01/22,MOB
BETBOO_TR,500,TRY      ,12680293,01/01/22 22:28,01/01/22,MOB
BETBOO_TR,1000,TRY      ,14318489,01/01/22 22:54,01/01/22,MOB
BETBOO_TR,1000,TRY      ,12371938,01/01/22 22:37,01/01/22,WEB
BETBOO_TR,200,TRY      ,8341995,01/01/22 14:12,01/01/22,MOB
BETBOO_TR,57,TRY      ,12290688,01/01/22 14:15,01/01/22,MOB
BETBOO_TR,50,TRY      ,14039912,01/01/22 14:47,01/01/22,MOB
BETBOO_TR,200,TRY      ,147715441,01/01/22 14:33,01/01/22,MOB
